,Episode Batch,Learning Rate,Mean Absolute Error,Mean Squared Error,Batch Gym Reward,Batch User Reward,Avg. Episode Length (t),BAC Gradient,Policy Evolution
46,47.0,0.025,1.97191489361845e-06,1.8275707234069038e-10,-10750.0,-51.0,10.2,"[[9.86063212e-05]
 [3.13676303e-03]
 [5.52167290e-02]
 ...
 [1.33263091e-03]
 [2.37270008e-05]
 [2.33774595e-07]]","[[3.08079559e+00]
 [8.02259366e+00]
 [1.14733564e+01]
 ...
 [4.33805291e-02]
 [2.53771190e-03]
 [8.32886136e-05]]"
47,48.0,0.025,0.0006178439583333315,1.8323095528751976e-05,-2700.0,-16.0,3.4,"[[-1.31165220e-04]
 [-3.50767650e-03]
 [-5.19077233e-02]
 ...
 [-5.64067289e-04]
 [-1.10553567e-05]
 [-1.19317971e-07]]","[[3.08079231e+00]
 [8.02250597e+00]
 [1.14720587e+01]
 ...
 [4.33664274e-02]
 [2.53743552e-03]
 [8.32856307e-05]]"
48,49.0,0.025,0.0001364697959183671,9.125762547020375e-07,-300.0,-10.0,2.4,"[[7.61217638e-13]
 [2.32380645e-10]
 [3.92601331e-08]
 ...
 [1.60593669e-01]
 [6.74581153e-03]
 [1.56812453e-04]]","[[3.08079231e+00]
 [8.02250597e+00]
 [1.14720587e+01]
 ...
 [4.73812691e-02]
 [2.70608080e-03]
 [8.72059420e-05]]"
49,50.0,0.025,0.00028119520000000173,3.9535370251520495e-06,-5100.0,-28.0,5.6,"[[-6.06589557e+01]
 [-2.22828776e+02]
 [-4.50593163e+02]
 ...
 [-1.33746530e-04]
 [-5.43968016e-07]
 [ 6.61068213e-09]]","[[1.56431842e+00]
 [2.45178658e+00]
 [2.07229658e-01]
 ...
 [4.73779254e-02]
 [2.70606720e-03]
 [8.72061073e-05]]"
50,51.0,0.025,0.0003474117647058804,6.155441647058755e-06,-4650.0,-23.0,4.8,"[[6.05423761e-01]
 [3.57590401e+00]
 [1.09297814e+01]
 ...
 [7.92227550e-05]
 [1.20239010e-06]
 [1.01419108e-08]]","[[1.57945401e+00]
 [2.54118418e+00]
 [4.80474192e-01]
 ...
 [4.73799060e-02]
 [2.70609726e-03]
 [8.72063608e-05]]"
51,52.0,0.025,1.5934230769232283e-05,1.3202784930771738e-08,-1750.0,-17.0,3.8,"[[2.97523424e-10]
 [6.42151766e-08]
 [7.66939363e-06]
 ...
 [1.60013991e-05]
 [1.47781754e-07]
 [7.55275131e-10]]","[[1.57945401e+00]
 [2.54118418e+00]
 [4.80474384e-01]
 ...
 [4.73803060e-02]
 [2.70610096e-03]
 [8.72063797e-05]]"
52,53.0,0.025,1.7345283018867098e-05,1.5945518679243765e-08,-3850.0,-23.0,4.8,"[[6.72133013e-01]
 [4.95483235e+00]
 [2.02401205e+01]
 ...
 [1.78328463e-02]
 [8.17057885e-04]
 [2.06475456e-05]]","[[1.59625734e+00]
 [2.66505499e+00]
 [9.86477397e-01]
 ...
 [4.78261272e-02]
 [2.72652741e-03]
 [8.77225683e-05]]"
53,54.0,0.025,0.0003319361111111118,5.949805420416693e-06,-3350.0,-17.0,3.6,"[[ 1.19417405e+00]
 [ 6.27373643e+00]
 [ 1.89714999e+01]
 ...
 [-4.76618887e-04]
 [-9.21166157e-06]
 [-9.85204091e-08]]","[[1.62611169e+00]
 [2.82189840e+00]
 [1.46076489e+00]
 ...
 [4.78142117e-02]
 [2.72629711e-03]
 [8.77201053e-05]]"
54,55.0,0.025,0.0004068069090909096,9.102052370625477e-06,-950.0,-11.0,2.4,"[[7.08061129e-15]
 [4.21133422e-12]
 [1.38654439e-09]
 ...
 [1.53924709e-02]
 [4.22364675e-04]
 [6.50994228e-06]]","[[1.62611169e+00]
 [2.82189840e+00]
 [1.46076489e+00]
 ...
 [4.81990235e-02]
 [2.73685623e-03]
 [8.78828539e-05]]"
55,56.0,0.025,9.38094642857133e-05,4.92812073016061e-07,-2100.0,-16.0,3.4,"[[-7.16939185e-03]
 [-9.17909706e-02]
 [-6.50326454e-01]
 ...
 [-1.50115838e-04]
 [-2.37680175e-06]
 [-2.07427609e-08]]","[[1.62593246e+00]
 [2.81960362e+00]
 [1.44450673e+00]
 ...
 [4.81952706e-02]
 [2.73679681e-03]
 [8.78823353e-05]]"
56,57.0,0.025,0.00027033105263157733,4.165496046963108e-06,-1250.0,-13.0,2.8,"[[9.61456772e-05]
 [3.07231687e-03]
 [5.43270517e-02]
 ...
 [2.31505955e-04]
 [3.15309493e-06]
 [2.37647601e-08]]","[[1.62593486e+00]
 [2.81968043e+00]
 [1.44586491e+00]
 ...
 [4.82010583e-02]
 [2.73687564e-03]
 [8.78829294e-05]]"
57,58.0,0.025,0.00024638344827586226,3.52087860788966e-06,-8400.0,-40.0,8.0,"[[1.06656836e+02]
 [1.92972781e+02]
 [1.77421709e+02]
 ...
 [1.71932756e-05]
 [1.61288469e-07]
 [8.37176680e-10]]","[[4.29235575e+00]
 [7.64399995e+00]
 [5.88140765e+00]
 ...
 [4.82014881e-02]
 [2.73687967e-03]
 [8.78829504e-05]]"
58,59.0,0.025,5.505372881355923e-05,1.788238703203384e-07,-3350.0,-17.0,3.8,"[[4.21265353e-11]
 [1.10895875e-08]
 [1.61615957e-06]
 ...
 [6.96911976e-05]
 [7.89307202e-07]
 [4.94786283e-09]]","[[4.29235575e+00]
 [7.64399995e+00]
 [5.88140769e+00]
 ...
 [4.82032304e-02]
 [2.73689940e-03]
 [8.78830741e-05]]"
59,60.0,0.025,1.5228833333332433e-05,1.3915041881665022e-08,-1200.0,-14.0,3.6,"[[-6.23673696e-01]
 [-2.61211190e+00]
 [-5.13038307e+00]
 ...
 [ 2.16348197e-05]
 [ 2.65012091e-07]
 [ 1.79275765e-09]]","[[4.27676391e+00]
 [7.57869715e+00]
 [5.75314811e+00]
 ...
 [4.82037712e-02]
 [2.73690603e-03]
 [8.78831189e-05]]"
60,61.0,0.025,8.012131147540778e-06,3.9158489770489805e-09,-4700.0,-24.0,4.8,"[[2.84954509e+00]
 [1.08134393e+01]
 [2.40057363e+01]
 ...
 [4.05479572e-05]
 [7.10203064e-07]
 [6.88363146e-09]]","[[4.34800253e+00]
 [7.84903314e+00]
 [6.35329152e+00]
 ...
 [4.82047849e-02]
 [2.73692378e-03]
 [8.78832910e-05]]"
61,62.0,0.025,0.000433996774193549,1.1677898400645193e-05,-1450.0,-11.0,2.6,"[[8.04617740e-09]
 [1.20632819e-06]
 [1.00080421e-04]
 ...
 [1.56999754e-02]
 [6.78454057e-04]
 [1.62248669e-05]]","[[4.34800253e+00]
 [7.84903317e+00]
 [6.35329402e+00]
 ...
 [4.85972843e-02]
 [2.75388514e-03]
 [8.82889126e-05]]"
62,63.0,0.025,0.00011529936507936525,8.375184460253994e-07,-750.0,-11.0,2.6,"[[5.76688251e-01]
 [3.48023058e+00]
 [1.08220876e+01]
 ...
 [1.15608707e-06]
 [1.04445417e-08]
 [5.22167387e-11]]","[[4.36241974e+00]
 [7.93603893e+00]
 [6.62384621e+00]
 ...
 [4.85973132e-02]
 [2.75388540e-03]
 [8.82889140e-05]]"
63,64.0,0.025,5.4372343750001134e-05,1.892065129515704e-07,-600.0,-12.0,2.6,"[[9.45670489e-05]
 [3.03271437e-03]
 [5.40241898e-02]
 ...
 [1.80018189e-07]
 [9.51227845e-10]
 [2.78146938e-12]]","[[4.36242210e+00]
 [7.93611475e+00]
 [6.62519681e+00]
 ...
 [4.85973177e-02]
 [2.75388542e-03]
 [8.82889140e-05]]"
64,65.0,0.025,0.00016819600000000164,1.838843137040036e-06,-3150.0,-17.0,3.6,"[[ 3.22979817e-01]
 [ 2.94208255e+00]
 [ 1.50362755e+01]
 ...
 [-5.75593476e-05]
 [-8.14960889e-07]
 [-6.27985142e-09]]","[[4.37049660e+00]
 [8.00966681e+00]
 [7.00110370e+00]
 ...
 [4.85958787e-02]
 [2.75386505e-03]
 [8.82887570e-05]]"
65,66.0,0.025,0.00026558757575757607,4.655426186187891e-06,-1250.0,-11.0,2.8,"[[1.72255059e-05]
 [1.01689629e-03]
 [3.32500891e-02]
 ...
 [3.75893335e-10]
 [1.03422906e-12]
 [1.59255712e-15]]","[[4.37049703e+00]
 [8.00969224e+00]
 [7.00193495e+00]
 ...
 [4.85958788e-02]
 [2.75386505e-03]
 [8.82887570e-05]]"
